Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,5200.0,5200.0,5200.0,5200.0,47.365.439.453.125,0
2019-01-02,5200.0,5245.0,5200.0,5240.0,477.297.900.390.625,35956000
2019-01-03,5200.0,5220.0,5115.0,5180.0,471.832.666.015.625,72358000
2019-01-04,5175.0,5205.0,5125.0,5205.0,474.109.765.625,51465000
2019-01-07,5265.0,5325.0,5245.0,5245.0,4.777.533.203.125,73438000
2019-01-08,5230.0,5320.0,5205.0,5240.0,477.297.900.390.625,66247500
2019-01-09,5300.0,5320.0,5225.0,5255.0,478.664.111.328.125,84871000
2019-01-10,5300.0,5300.0,5190.0,5255.0,478.664.111.328.125,114314500
2019-01-11,5280.0,5300.0,5235.0,5250.0,478.208.740.234.375,84826500
2019-01-14,5220.0,5235.0,5150.0,5200.0,47.365.439.453.125,87547500
2019-01-15,5230.0,5260.0,5190.0,5260.0,479.119.580.078.125,87763000
2019-01-16,5260.0,5285.0,5245.0,5285.0,48.139.677.734.375,94972500
2019-01-17,5290.0,5330.0,5285.0,5330.0,485.495.751.953.125,91654000
2019-01-18,5340.0,5425.0,5315.0,5425.0,4.941.490.234.375,100873500
2019-01-21,5425.0,5600.0,5390.0,5545.0,505.079.443.359.375,87118000
2019-01-22,5600.0,5620.0,5450.0,5600.0,510.089.306.640.625,91907000
2019-01-23,5600.0,5600.0,5475.0,5500.0,500.980.615.234.375,98512500
2019-01-24,5430.0,5485.0,5355.0,5460.0,497.337.109.375,106781000
2019-01-25,5400.0,5520.0,5400.0,5500.0,500.980.615.234.375,68944000
2019-01-28,5515.0,5515.0,5475.0,5495.0,50.052.509.765.625,69704000
2019-01-29,5445.0,5550.0,5440.0,5540.0,50.462.412.109.375,77679000
2019-01-30,5560.0,5560.0,5495.0,5520.0,502.802.294.921.875,76285000
2019-01-31,5520.0,5640.0,5520.0,5635.0,51.327.734.375,135904500
2019-02-01,5680.0,5750.0,5560.0,5635.0,51.327.734.375,57719500
2019-02-04,5635.0,5635.0,5500.0,5500.0,500.980.615.234.375,113846500
2019-02-05,5500.0,5500.0,5500.0,5500.0,500.980.615.234.375,0
2019-02-06,5500.0,5540.0,5495.0,5535.0,504.168.603.515.625,121996500
2019-02-07,5535.0,5535.0,5505.0,5530.0,503.713.232.421.875,63697500
2019-02-08,5530.0,5535.0,5500.0,5520.0,502.802.294.921.875,65268500
2019-02-11,5520.0,5530.0,5460.0,5495.0,50.052.509.765.625,37639000
2019-02-12,5530.0,5530.0,5450.0,5460.0,497.337.109.375,95883500
2019-02-13,5460.0,5490.0,5410.0,5420.0,4.936.935.546.875,103115500
2019-02-14,5405.0,5405.0,5380.0,5380.0,490.050.048.828.125,108738500
2019-02-15,5360.0,5410.0,5335.0,5360.0,488.228.369.140.625,81340000
2019-02-18,5410.0,5500.0,5410.0,5480.0,49.915.888.671.875,62991000
2019-02-19,5420.0,5480.0,5380.0,5380.0,490.050.048.828.125,64469000
2019-02-20,5450.0,5595.0,5440.0,5500.0,500.980.615.234.375,89583000
2019-02-21,5540.0,5560.0,5470.0,5505.0,501.435.986.328.125,54561500
2019-02-22,5475.0,5525.0,5460.0,5490.0,500.069.677.734.375,48271500
2019-02-25,5490.0,5500.0,5455.0,5490.0,500.069.677.734.375,47887000
2019-02-26,5500.0,5555.0,5495.0,5555.0,50.599.033.203.125,98446000
